day,doppler_rms_mm_s,n_60s_samples,tropo_rate_rms,elongation_deg,solar_model_mm_s,decimal_year,doppler_smooth_mm_s,solar_smooth_mm_s,tropo_smooth
2012-08-06,0.030777320598589328,561,0.00019157607154009223,45.4558,0.026488769821259237,2012.5968514715948,0.04534651047027655,0.026488769821259237,0.00018982490063171325
2012-08-11,0.08195516643537142,560,0.00018938605966400382,45.7293,0.026337480782253876,2012.6105407255304,0.03792291535947616,0.02635456785062373,0.00018998361685832667
2012-08-12,0.056382356937301356,559,0.00018865962655109915,45.7583,0.026321574179159295,2012.6132785763175,0.04959034361751993,0.02635456785062373,0.00018938605966400382
2012-08-13,0.04959034361751993,559,0.000189357482052996,45.7795,0.026309962162507795,2012.6160164271048,0.04959034361751993,0.02635456785062373,0.000189357482052996
2012-08-21,0.03792291535947616,484,0.0001929500839263195,45.6982,0.02635456785062373,2012.6379192334018,0.056382356937301356,0.02635456785062373,0.00018865962655109915
2012-08-22,0.08052619052092834,558,0.00018726089648417625,45.66,0.026375596433889977,2012.640657084189,0.056382356937301356,0.026375596433889977,0.00018779914875834087
2012-08-24,0.0321402823065318,558,0.00018679925640662735,45.567,0.02642697954062692,2012.6461327857633,0.05711718615394096,0.02642697954062692,0.00018726089648417625
2012-08-25,0.10334523080424644,558,0.00018779914875834087,45.5125,0.026457215442368193,2012.6488706365503,0.05711718615394096,0.026457215442368193,0.00018679925640662735
2012-08-26,0.06553389528761873,558,0.0001854917833003137,45.4529,0.026490386405647496,2012.6516084873374,0.05711718615394096,0.026490386405647496,0.00018585417462451664
2012-08-27,0.05711718615394096,558,0.00018585417462451664,45.3883,0.026526465325121134,2012.6543463381245,0.04296897931554289,0.026526465325121134,0.00018585417462451664
2012-08-31,0.025615150502430944,558,0.00018493393659840986,45.0824,0.026699095146113364,2012.6652977412732,0.04802203697777406,0.026699095146113364,0.0001854917833003137
2012-09-01,0.04296897931554289,557,0.00018500484080463043,44.9948,0.02674907964265419,2012.6680355920603,0.04296897931554289,0.02674907964265419,0.00018500484080463043
2012-09-02,0.03518980924024916,557,0.00018601703794255363,44.903,0.026801725821954194,2012.6707734428473,0.04296897931554289,0.026801725821954194,0.00018500484080463043
2012-09-06,0.04802203697777406,533,0.00012634891158481773,44.4962,0.02703833134465899,2012.6817248459959,0.03518980924024916,0.02703833134465899,0.00018493393659840986
2012-09-08,0.022317751990758496,83,0.00012828901115582208,44.2709,0.027171735945322316,2012.6872005475702,0.03518980924024916,0.027171735945322316,0.00018500484080463043
2012-09-09,0.13745703608561244,175,0.0002470279765288198,44.1531,0.027242170554440587,2012.6899383983573,0.03518980924024916,0.027242170554440587,0.00018601703794255363
2012-09-16,0.02346500845071778,402,8.894974406270123e-05,43.2435,0.02780230462753965,2012.7091033538672,0.03540706782302932,0.02780230462753965,0.0002079014750535972
2012-09-17,0.03281370507471673,385,0.0002079014750535972,43.1024,0.027891848643452063,2012.7118412046543,0.03540706782302932,0.027891848643452063,0.0002470279765288198
