start,end,mid,phase_rms_rad,n_samples,elongation_deg
2012-09-27 09:35:30,2012-09-27 09:55:30,2012-09-27 09:45:30,0.2843178347590843,120,41.49062024305555
2012-09-27 09:45:30,2012-09-27 10:05:30,2012-09-27 09:55:30,0.20358043795520667,120,41.48946260416667
2012-09-27 09:55:30,2012-09-27 10:15:30,2012-09-27 10:05:30,0.34032514941741276,120,41.48830496527778
2012-09-27 10:05:30,2012-09-27 10:25:30,2012-09-27 10:15:30,0.6951567986635102,120,41.487147326388886
2012-09-27 10:15:30,2012-09-27 10:35:30,2012-09-27 10:25:30,0.45527198434605287,120,41.4859896875
2012-09-27 10:25:30,2012-09-27 10:45:30,2012-09-27 10:35:30,0.232863612497549,120,41.48483204861111
2012-09-27 10:35:30,2012-09-27 10:55:30,2012-09-27 10:45:30,0.22654932488528456,120,41.48367440972222
2012-09-27 10:45:30,2012-09-27 11:05:30,2012-09-27 10:55:30,0.22497666765126803,120,41.482516770833335
2012-09-27 10:55:30,2012-09-27 11:15:30,2012-09-27 11:05:30,0.6778666995211082,120,41.481359131944444
2012-09-27 11:05:30,2012-09-27 11:25:30,2012-09-27 11:15:30,0.34944163459560357,120,41.48020149305555
2012-09-27 11:15:30,2012-09-27 11:35:30,2012-09-27 11:25:30,0.8006855894884259,120,41.47904385416667
2012-09-27 11:25:30,2012-09-27 11:45:30,2012-09-27 11:35:30,0.440875385310265,120,41.47788621527778
2012-09-27 11:35:30,2012-09-27 11:55:30,2012-09-27 11:45:30,0.37948339892992045,120,41.476728576388886
2012-09-27 11:45:30,2012-09-27 12:05:30,2012-09-27 11:55:30,0.440697919151876,120,41.4755709375
2012-09-27 11:55:30,2012-09-27 12:15:30,2012-09-27 12:05:30,0.5332048082056784,120,41.47441329861111
2012-09-27 12:05:30,2012-09-27 12:25:30,2012-09-27 12:15:30,0.40649327002443375,120,41.47325565972222
2012-09-27 12:15:30,2012-09-27 12:35:30,2012-09-27 12:25:30,0.22960113571076696,120,41.472098020833336
2012-09-27 12:25:30,2012-09-27 12:45:30,2012-09-27 12:35:30,0.485722492421407,120,41.470940381944445
2012-09-27 12:35:30,2012-09-27 12:55:30,2012-09-27 12:45:30,0.6314949747667986,120,41.46978274305555
2012-09-27 12:45:30,2012-09-27 13:05:30,2012-09-27 12:55:30,0.23414333234910495,120,41.46862510416667
2012-09-27 12:55:30,2012-09-27 13:15:30,2012-09-27 13:05:30,0.7090794264919328,120,41.46746746527778
2012-09-27 13:05:30,2012-09-27 13:25:30,2012-09-27 13:15:30,0.3906543912048249,120,41.46630982638889
2012-09-27 13:15:30,2012-09-27 13:35:30,2012-09-27 13:25:30,0.3287102995181119,86,41.4651521875
2012-09-28 04:15:30,2012-09-28 04:35:30,2012-09-28 04:25:30,0.7457679340145238,108,41.360614375
2012-09-28 04:25:30,2012-09-28 04:45:30,2012-09-28 04:35:30,0.6704434947916825,120,41.359443541666664
2012-09-28 04:35:30,2012-09-28 04:55:30,2012-09-28 04:45:30,0.5790652474037895,120,41.35827270833333
2012-09-28 04:45:30,2012-09-28 05:05:30,2012-09-28 04:55:30,0.678430990901681,120,41.357101875
2012-09-28 04:55:30,2012-09-28 05:15:30,2012-09-28 05:05:30,0.4302953883273198,120,41.355931041666665
2012-09-28 05:05:30,2012-09-28 05:25:30,2012-09-28 05:15:30,0.5295075889656407,120,41.35476020833333
2012-09-28 05:15:30,2012-09-28 05:35:30,2012-09-28 05:25:30,0.2614985082941271,120,41.353589375
2012-09-28 05:25:30,2012-09-28 05:45:30,2012-09-28 05:35:30,0.52212362792125,120,41.352418541666665
2012-09-28 05:35:30,2012-09-28 05:55:30,2012-09-28 05:45:30,0.35204832134911884,120,41.35124770833333
2012-09-28 05:45:30,2012-09-28 06:05:30,2012-09-28 05:55:30,0.4860237604282537,120,41.350076875
2012-09-28 05:55:30,2012-09-28 06:15:30,2012-09-28 06:05:30,0.3062034886307168,120,41.348906041666666
2012-09-28 06:05:30,2012-09-28 06:25:30,2012-09-28 06:15:30,0.18444266745767804,120,41.34773520833333
2012-09-28 06:15:30,2012-09-28 06:35:30,2012-09-28 06:25:30,0.4140324121956333,120,41.346564375
2012-09-28 06:25:30,2012-09-28 06:45:30,2012-09-28 06:35:30,0.3128200249418818,120,41.34539354166667
2012-09-28 06:35:30,2012-09-28 06:55:30,2012-09-28 06:45:30,0.21862024107007172,120,41.344222708333334
2012-09-28 06:45:30,2012-09-28 07:05:30,2012-09-28 06:55:30,0.2853831089934511,120,41.343051875
2012-09-28 06:55:30,2012-09-28 07:15:30,2012-09-28 07:05:30,0.2291342569290909,120,41.34188104166667
2012-09-28 07:05:30,2012-09-28 07:25:30,2012-09-28 07:15:30,0.3428969009746395,120,41.340710208333334
2012-09-28 07:15:30,2012-09-28 07:35:30,2012-09-28 07:25:30,0.28877664104849315,120,41.339539375
2012-09-28 07:25:30,2012-09-28 07:45:30,2012-09-28 07:35:30,0.24409095211260007,120,41.33836854166667
2012-09-28 07:35:30,2012-09-28 07:55:30,2012-09-28 07:45:30,0.3807241013287326,120,41.337197708333335
2012-09-28 07:45:30,2012-09-28 08:05:30,2012-09-28 07:55:30,0.464976048883269,120,41.336026875
2012-09-28 07:55:30,2012-09-28 08:15:30,2012-09-28 08:05:30,0.26604405086058064,120,41.33485604166667
2012-09-28 08:05:30,2012-09-28 08:25:30,2012-09-28 08:15:30,0.44920992922154473,120,41.333685208333335
2012-09-28 08:15:30,2012-09-28 08:35:30,2012-09-28 08:25:30,0.7446850142446595,120,41.332514375
2012-09-28 08:25:30,2012-09-28 08:45:30,2012-09-28 08:35:30,0.3173974990730509,120,41.33134354166667
2012-09-28 08:35:30,2012-09-28 08:55:30,2012-09-28 08:45:30,0.22021510922741522,120,41.330172708333336
2012-09-28 08:45:30,2012-09-28 09:05:30,2012-09-28 08:55:30,0.2767135553283223,120,41.329001875
2012-09-28 08:55:30,2012-09-28 09:15:30,2012-09-28 09:05:30,0.23841185577698518,120,41.32783104166667
2012-09-28 09:05:30,2012-09-28 09:25:30,2012-09-28 09:15:30,0.30608598458869696,120,41.32666020833334
2012-09-28 09:15:30,2012-09-28 09:35:30,2012-09-28 09:25:30,0.43926306995792563,120,41.325489375000004
2012-09-28 09:25:30,2012-09-28 09:45:30,2012-09-28 09:35:30,0.271118941588861,120,41.32431854166667
2012-09-28 09:35:30,2012-09-28 09:55:30,2012-09-28 09:45:30,0.17109020857052287,120,41.32314770833334
2012-09-28 09:45:30,2012-09-28 10:05:30,2012-09-28 09:55:30,0.3121418697045261,120,41.321976875000004
2012-09-28 09:55:30,2012-09-28 10:15:30,2012-09-28 10:05:30,0.4078118780373425,120,41.32080604166667
2012-09-28 10:05:30,2012-09-28 10:25:30,2012-09-28 10:15:30,0.24517402912817507,120,41.31963520833333
2012-09-28 10:15:30,2012-09-28 10:35:30,2012-09-28 10:25:30,0.2417558391378247,120,41.318464375
2012-09-28 10:25:30,2012-09-28 10:45:30,2012-09-28 10:35:30,0.24351140772065005,120,41.317293541666665
2012-09-28 10:35:30,2012-09-28 10:55:30,2012-09-28 10:45:30,0.24023493816092742,120,41.31612270833333
