start,end,mid,phase_rms_rad,n_samples
2011-01-06 11:34:10,2011-01-06 11:54:10,2011-01-06 11:44:10,0.46723445859803375,120
2011-01-06 11:44:10,2011-01-06 12:04:10,2011-01-06 11:54:10,0.9627737696871834,120
2011-01-06 11:54:10,2011-01-06 12:14:10,2011-01-06 12:04:10,1.0886998599216147,120
2011-01-06 12:04:10,2011-01-06 12:24:10,2011-01-06 12:14:10,1.0168953454103908,120
2011-01-06 12:14:10,2011-01-06 12:34:10,2011-01-06 12:24:10,0.8409147160135388,105
2011-01-07 05:34:10,2011-01-07 05:54:10,2011-01-07 05:44:10,0.491580799128686,74
2011-01-07 05:44:10,2011-01-07 06:04:10,2011-01-07 05:54:10,0.8830285743410751,120
2011-01-07 05:54:10,2011-01-07 06:14:10,2011-01-07 06:04:10,1.08546086647794,120
2011-01-07 06:04:10,2011-01-07 06:24:10,2011-01-07 06:14:10,1.155365171567148,120
2011-01-07 06:14:10,2011-01-07 06:34:10,2011-01-07 06:24:10,0.6320709625427973,120
2011-01-07 06:24:10,2011-01-07 06:44:10,2011-01-07 06:34:10,0.3743316504109279,120
2011-01-07 06:34:10,2011-01-07 06:54:10,2011-01-07 06:44:10,1.1189342557272046,120
2011-01-07 06:44:10,2011-01-07 07:04:10,2011-01-07 06:54:10,0.9242197951652639,120
2011-01-07 06:54:10,2011-01-07 07:14:10,2011-01-07 07:04:10,0.6237540129038572,120
2011-01-07 07:04:10,2011-01-07 07:24:10,2011-01-07 07:14:10,0.49824416505203933,120
2011-01-07 07:14:10,2011-01-07 07:34:10,2011-01-07 07:24:10,1.1625047283606393,120
2011-01-07 07:24:10,2011-01-07 07:44:10,2011-01-07 07:34:10,0.5546279642185243,116
2011-01-07 07:34:10,2011-01-07 07:54:10,2011-01-07 07:44:10,0.950403192857688,100
2011-01-07 07:44:10,2011-01-07 08:04:10,2011-01-07 07:54:10,1.1463620484205634,89
2011-01-07 07:54:10,2011-01-07 08:14:10,2011-01-07 08:04:10,0.9534538578896357,101
2011-01-07 08:04:10,2011-01-07 08:24:10,2011-01-07 08:14:10,0.9127355437281778,116
2011-01-07 08:14:10,2011-01-07 08:34:10,2011-01-07 08:24:10,0.6893841097989046,120
2011-01-07 08:24:10,2011-01-07 08:44:10,2011-01-07 08:34:10,1.102409881949608,120
2011-01-07 08:34:10,2011-01-07 08:54:10,2011-01-07 08:44:10,1.1234828072675864,120
2011-01-07 08:44:10,2011-01-07 09:04:10,2011-01-07 08:54:10,1.286509021531591,120
2011-01-07 08:54:10,2011-01-07 09:14:10,2011-01-07 09:04:10,1.1256087540571564,120
2011-01-07 09:04:10,2011-01-07 09:24:10,2011-01-07 09:14:10,0.6747599962458665,120
2011-01-07 09:14:10,2011-01-07 09:34:10,2011-01-07 09:24:10,0.7842043110544116,120
2011-01-07 09:24:10,2011-01-07 09:44:10,2011-01-07 09:34:10,1.0209775130047065,120
2011-01-07 09:34:10,2011-01-07 09:54:10,2011-01-07 09:44:10,0.9724420894269882,120
2011-01-07 09:44:10,2011-01-07 10:04:10,2011-01-07 09:54:10,1.5520402075114454,120
2011-01-07 09:54:10,2011-01-07 10:14:10,2011-01-07 10:04:10,1.688663018334712,120
2011-01-07 10:04:10,2011-01-07 10:24:10,2011-01-07 10:14:10,0.998800469771078,120
2011-01-07 10:14:10,2011-01-07 10:34:10,2011-01-07 10:24:10,1.210130875378665,120
2011-01-07 10:24:10,2011-01-07 10:44:10,2011-01-07 10:34:10,0.6420614224371086,120
2011-01-07 10:34:10,2011-01-07 10:54:10,2011-01-07 10:44:10,0.5944449068575749,120
2011-01-07 10:44:10,2011-01-07 11:04:10,2011-01-07 10:54:10,0.8960362497522939,120
2011-01-07 10:54:10,2011-01-07 11:14:10,2011-01-07 11:04:10,1.4413654866930043,120
2011-01-07 11:04:10,2011-01-07 11:24:10,2011-01-07 11:14:10,1.6037440773962335,120
2011-01-07 11:14:10,2011-01-07 11:34:10,2011-01-07 11:24:10,2.290874697867347,120
2011-01-07 11:24:10,2011-01-07 11:44:10,2011-01-07 11:34:10,2.4938477347526806,120
2011-01-07 11:34:10,2011-01-07 11:54:10,2011-01-07 11:44:10,2.399447062691113,120
2011-01-07 11:44:10,2011-01-07 12:04:10,2011-01-07 11:54:10,2.6344735985305783,120
2011-01-07 11:54:10,2011-01-07 12:14:10,2011-01-07 12:04:10,2.9022720481817443,120
2011-01-07 12:04:10,2011-01-07 12:24:10,2011-01-07 12:14:10,2.0714855280162294,120
2011-01-07 12:14:10,2011-01-07 12:34:10,2011-01-07 12:24:10,1.424150640254106,98
2011-01-08 05:34:10,2011-01-08 05:54:10,2011-01-08 05:44:10,0.6858495587071198,66
2011-01-08 05:44:10,2011-01-08 06:04:10,2011-01-08 05:54:10,1.1141606702670062,120
2011-01-08 05:54:10,2011-01-08 06:14:10,2011-01-08 06:04:10,1.1666319478950709,120
2011-01-08 06:04:10,2011-01-08 06:24:10,2011-01-08 06:14:10,1.130075164898005,120
2011-01-08 06:14:10,2011-01-08 06:34:10,2011-01-08 06:24:10,1.0403662847344128,120
2011-01-08 06:24:10,2011-01-08 06:44:10,2011-01-08 06:34:10,1.2948647375755777,120
2011-01-08 06:34:10,2011-01-08 06:54:10,2011-01-08 06:44:10,1.3307701822235478,120
2011-01-08 06:44:10,2011-01-08 07:04:10,2011-01-08 06:54:10,1.0029884543677936,120
2011-01-08 06:54:10,2011-01-08 07:14:10,2011-01-08 07:04:10,0.7973734478892323,120
2011-01-08 07:04:10,2011-01-08 07:24:10,2011-01-08 07:14:10,0.9773113562424909,120
2011-01-08 07:14:10,2011-01-08 07:34:10,2011-01-08 07:24:10,0.8568685183405582,120
2011-01-08 07:24:10,2011-01-08 07:44:10,2011-01-08 07:34:10,1.2508152831959614,119
2011-01-08 07:34:10,2011-01-08 07:54:10,2011-01-08 07:44:10,1.3531310672431773,119
2011-01-08 07:44:10,2011-01-08 08:04:10,2011-01-08 07:54:10,1.3811223586134758,120
2011-01-08 07:54:10,2011-01-08 08:14:10,2011-01-08 08:04:10,1.1371132092490845,120
2011-01-08 08:04:10,2011-01-08 08:24:10,2011-01-08 08:14:10,0.8690810778662398,120
2011-01-08 08:14:10,2011-01-08 08:34:10,2011-01-08 08:24:10,1.0104424174957438,120
2011-01-08 08:24:10,2011-01-08 08:44:10,2011-01-08 08:34:10,1.105859900361179,120
2011-01-08 08:34:10,2011-01-08 08:54:10,2011-01-08 08:44:10,0.8597410179643991,120
2011-01-08 08:44:10,2011-01-08 09:04:10,2011-01-08 08:54:10,1.1454776362125998,120
2011-01-08 08:54:10,2011-01-08 09:14:10,2011-01-08 09:04:10,0.6640228678332577,120
2011-01-08 09:04:10,2011-01-08 09:24:10,2011-01-08 09:14:10,0.7881105211830465,120
2011-01-08 09:14:10,2011-01-08 09:34:10,2011-01-08 09:24:10,0.7872185215120291,120
2011-01-08 09:24:10,2011-01-08 09:44:10,2011-01-08 09:34:10,0.8369895221048541,120
2011-01-08 09:34:10,2011-01-08 09:54:10,2011-01-08 09:44:10,0.7686718349190208,120
2011-01-08 09:44:10,2011-01-08 10:04:10,2011-01-08 09:54:10,1.1785087285912321,120
2011-01-08 09:54:10,2011-01-08 10:14:10,2011-01-08 10:04:10,1.12744984071862,120
2011-01-08 10:04:10,2011-01-08 10:24:10,2011-01-08 10:14:10,0.886219563408137,120
2011-01-08 10:14:10,2011-01-08 10:34:10,2011-01-08 10:24:10,0.765566785034929,120
2011-01-08 10:24:10,2011-01-08 10:44:10,2011-01-08 10:34:10,0.9038862228198189,120
2011-01-08 10:34:10,2011-01-08 10:54:10,2011-01-08 10:44:10,0.9743464446458648,120
2011-01-08 10:44:10,2011-01-08 11:04:10,2011-01-08 10:54:10,1.054717749739262,120
2011-01-08 10:54:10,2011-01-08 11:14:10,2011-01-08 11:04:10,1.1476666738266668,120
2011-01-08 11:04:10,2011-01-08 11:24:10,2011-01-08 11:14:10,1.6595882960811634,120
2011-01-08 11:14:10,2011-01-08 11:34:10,2011-01-08 11:24:10,1.8524793797546386,120
2011-01-08 11:24:10,2011-01-08 11:44:10,2011-01-08 11:34:10,2.245890008874735,120
2011-01-08 11:34:10,2011-01-08 11:54:10,2011-01-08 11:44:10,1.9415079332252592,120
2011-01-08 11:44:10,2011-01-08 12:04:10,2011-01-08 11:54:10,1.8398999581279583,120
2011-01-08 11:54:10,2011-01-08 12:14:10,2011-01-08 12:04:10,0.8551885752724601,120
2011-01-08 12:04:10,2011-01-08 12:24:10,2011-01-08 12:14:10,1.3523973505672329,120
2011-01-08 12:14:10,2011-01-08 12:34:10,2011-01-08 12:24:10,0.7602691959505329,93
2011-01-09 05:34:10,2011-01-09 05:54:10,2011-01-09 05:44:10,0.24441544373368132,58
2011-01-09 05:44:10,2011-01-09 06:04:10,2011-01-09 05:54:10,0.3573517913619765,118
2011-01-09 05:54:10,2011-01-09 06:14:10,2011-01-09 06:04:10,0.1901284571988799,120
2011-01-09 06:04:10,2011-01-09 06:24:10,2011-01-09 06:14:10,0.38361871024299665,120
2011-01-09 06:14:10,2011-01-09 06:34:10,2011-01-09 06:24:10,0.31914860985168086,120
2011-01-09 06:24:10,2011-01-09 06:44:10,2011-01-09 06:34:10,0.5801514040052872,120
2011-01-09 06:34:10,2011-01-09 06:54:10,2011-01-09 06:44:10,0.5436674811618614,120
2011-01-09 06:44:10,2011-01-09 07:04:10,2011-01-09 06:54:10,0.5378713204507015,120
2011-01-09 06:54:10,2011-01-09 07:14:10,2011-01-09 07:04:10,0.2125628100210378,120
2011-01-09 07:04:10,2011-01-09 07:24:10,2011-01-09 07:14:10,0.24947235268209253,120
