event_id,start,end,mid,n_windows,duration_hr,median_phase_rms_rad,peak_phase_rms_rad,median_baseline_phase_rms_rad,median_phase_ratio,peak_phase_ratio
510,2010-11-17 10:57:20,2010-11-17 11:37:20,2010-11-17 11:17:20,3,0.6666666666666666,0.8178545545547784,0.8335075170692592,0.36523050052974915,2.2518082345820756,2.2682314017584564
511,2010-11-17 12:07:20,2010-11-17 13:47:20,2010-11-17 12:57:20,9,1.6666666666666667,1.0795238973043106,1.7038765998049472,0.35494239782155457,3.055085979290887,4.800431310157436
513,2010-11-20 07:17:20,2010-11-20 08:07:20,2010-11-20 07:37:20,3,0.8333333333333334,0.9408709872110184,1.124121281746958,0.3364593471502378,2.7501171168653764,3.3410315132217407
516,2010-11-20 13:07:20,2010-11-20 14:07:20,2010-11-20 13:37:20,4,1.0,0.8789333221127595,1.1549252885587395,0.3287838530801825,2.6708162493998264,3.5288229437762872
518,2010-11-21 11:47:20,2010-11-21 12:47:20,2010-11-21 12:12:20,4,1.0,0.6674435573006936,0.8343954600581436,0.3136934569310076,2.1412893825472894,2.659907121498097
519,2010-11-21 13:07:20,2010-11-21 13:57:20,2010-11-21 13:32:20,4,0.8333333333333334,1.016752869103636,1.4814405156325026,0.30973266499050967,3.2826788518892247,4.841859495902741
522,2010-11-23 12:27:20,2010-11-23 13:47:20,2010-11-23 13:07:20,5,1.3333333333333333,0.6682793751929461,0.9949293650931176,0.2426631852271866,2.726999420051793,4.100042468995216
526,2010-11-27 05:37:20,2010-11-27 06:37:20,2010-11-27 06:07:20,5,1.0,1.079635321568624,1.4066533493208813,0.3567843845741827,3.043205016221506,3.9425866437504062
532,2010-11-27 11:57:20,2010-11-28 08:47:20,2010-11-28 06:27:20,21,20.833333333333332,1.054753676609409,2.2481854665322163,0.3589532045301984,2.9669854750949893,6.200231051749639
534,2010-11-28 11:07:20,2010-11-28 13:37:20,2010-11-28 12:22:20,10,2.5,0.9178032911709156,1.3497601766080785,0.3745703583200179,2.4530870291111277,3.760267799739128
537,2010-12-02 11:47:20,2010-12-02 12:27:20,2010-12-02 12:07:20,3,0.6666666666666666,0.5667028193154093,0.5820878700782072,0.2568133081746563,2.2066723229545415,2.266579852171581
540,2010-12-05 05:27:20,2010-12-05 06:27:20,2010-12-05 05:57:20,4,1.0,1.2049589343866551,1.4317328124534634,0.44954745390997575,2.6722650891355375,3.1848313231469785
543,2010-12-06 08:17:20,2010-12-06 09:27:20,2010-12-06 08:57:20,5,1.1666666666666667,1.637512821257746,1.93197294952952,0.751237921555242,2.1783169451535156,2.5717191506119317
547,2010-12-06 12:17:20,2010-12-06 13:17:20,2010-12-06 12:52:20,4,1.0,1.7838298063642086,1.9868212203734,0.8032621012934078,2.2207319422787366,2.4734407575985875
551,2010-12-08 05:17:20,2010-12-08 06:27:20,2010-12-08 05:52:20,6,1.1666666666666667,1.8510924436434997,2.741995851735235,0.7652598492100586,2.413442708695807,3.5830912265496053
557,2010-12-11 11:57:20,2010-12-11 13:07:20,2010-12-11 12:37:20,5,1.1666666666666667,0.7463808880410896,1.6567806350610372,0.3408174328243851,2.18997274246145,4.90093017175405
558,2010-12-12 06:57:20,2010-12-12 07:47:20,2010-12-12 07:22:20,4,0.8333333333333334,1.1655995638015688,1.7435828280372945,0.3408174328243851,3.4200115708346814,5.115885104784884
559,2010-12-12 07:57:20,2010-12-12 08:47:20,2010-12-12 08:17:20,3,0.8333333333333334,1.0084462413525526,1.0447318230653804,0.3479282256467374,2.9085715509766032,2.989053493980346
563,2010-12-14 07:07:20,2010-12-14 07:57:20,2010-12-14 07:37:20,3,0.8333333333333334,0.9636163240292528,1.3768068024937246,0.3266524466829408,3.001664909651445,4.153702308908259
565,2010-12-14 08:47:20,2010-12-15 07:17:20,2010-12-15 05:47:20,13,22.5,0.7601930319258278,2.1496750100282496,0.26563774536064694,2.9533801427846216,7.915357568660353
567,2010-12-15 08:07:20,2010-12-15 09:47:20,2010-12-15 08:57:20,9,1.6666666666666667,0.7184478613857858,1.1071077021183946,0.25169681484665635,2.8954188914551624,4.452119316287231
572,2010-12-19 12:17:20,2010-12-19 12:57:20,2010-12-19 12:37:20,3,0.6666666666666666,0.8687877343962338,1.0141480929832665,0.3343960736592131,2.571173766948926,3.0327751216863765
575,2010-12-20 12:27:20,2010-12-21 06:27:20,2010-12-21 05:42:20,6,18.0,1.5429284567592927,2.84626613184071,0.3794704521600893,4.066004211859871,7.5006265063292465
586,2010-12-26 07:07:20,2010-12-26 08:17:20,2010-12-26 07:37:20,4,1.1666666666666667,0.8456210169662477,1.842466673892749,0.30696950787282407,2.762207025637739,5.891484475997033
589,2010-12-28 06:37:20,2010-12-28 08:17:20,2010-12-28 07:22:20,8,1.6666666666666667,1.3476983831470641,1.95903657653064,0.4367169221036342,3.081318727279451,4.4844168893030645
